駅名,住所,URL
お茶の京都　みなみやましろ村　[Ocyanokyoto Minamiyamashiromura],相楽郡南山城村北大河原殿田102,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/ocyanokyotominamiyamashiromura.html
海の京都　宮津 [ Uminokyouto Miyazu ],宮津市字浜町3007番地他,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/uminokyoutomiyazu.html
京丹波　味夢の里 [ Kyotamba Ajimnosato ],船井郡京丹波町曽根深シノ65番地1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/kyotambaajimnosato.html
スプリングスひよし [ Springs－Hiyoshi ],南丹市日吉町中宮ノ向8番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/springshiyoshi.html
くみはまSANKAIKAN [ Kumihama sankaikan ],京丹後市久美浜町浦明1709,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/kumihamasankaikan.html
ウッディー京北 [ Woody Keihoku ],京都市右京区京北周山町上寺田1-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/woodykeihoku.html
美山ふれあい広場 [ Miyama fureaihiroba],南丹市美山町安掛下23番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/miyamafureaihiroba.html
丹後王国「食のみやこ」 [ Tangooukoku shokunomiyako ],京丹後市弥栄町鳥取１２３番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/tangooukoku.html
シルクのまち かや [ Silk No Machi Kaya ],与謝郡与謝野町字滝98,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/silknomachikaya.html
京都新光悦村 [ Kyoto Shinkoetsu Mura ],南丹市園部町曽我谷縄手15番地3,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/shinkoetsu.html
舞鶴港とれとれセンター [ Maizuruko Toretore Center ],舞鶴市字下福井905番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/toretorecenter.html
農匠の郷やくの（のうしょうのさとやくの） [ Nousyou no sato Yakuno ],福知山市夜久野町平野2150番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/yakuno.html
瑞穂の里・さらびき [ Mizuhonosato Sarabiki ],船井郡京丹波町大朴休石10番地1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/mizuhonosatosarabiki.html
丹波マーケス [ Tanba Markesu ],船井郡京丹波町須知色紙田3番地5,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/tanbamakesu.html
ガレリア かめおか [ GALLERIA KAMEOKA ],亀岡市余部町宝久保1-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/gareriakameoka.html
和（なごみ） [ Nagomi ],船井郡京丹波町坂原上モジリ11番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/nagomi.html
てんきてんき丹後 [ Tenki Tenki Tango ],京丹後市丹後町竹野313番地の1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/tenkitenkitango.html
舟屋の里　伊根 [ Hunayanosato Ine ],与謝郡伊根町字亀島459,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/kyoto/funayanosatoine.html
みさき [ Misaki ],泉南郡岬町淡輪5654-3,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/misaki.html
奥河内くろまろの郷 [Okukawachi Kuromaro Village],河内長野市高向1218-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/kuromaronosato.html
愛彩ランド [ Aisailand ],岸和田市岸の丘町3-6-18,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/aisai_land.html
いずみ山愛の里 [Izumiyamaainosato],和泉市仏並町398-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/izumiyamaai.html
しらとりの郷・羽曳野 [Shiratorinosato・Habikino],羽曳野市埴生野９７５－３,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/shiratori_habikino.html
とっとパーク小島 [ Totto Park Koshima ],泉南郡岬町多奈川小島455-1,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/tottopark.html
かなん [ Kanan ],南河内郡河南町大字神山523番地1他,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/kanan.html
能勢（くりの郷） [ Nose ],豊能郡能勢町平野535番地,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/nose.html
近つ飛鳥の里・太子 [ Chikatuasukanosatotaishi ],南河内郡太子町山田2254-3,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/chikatuasukanosatotaishi.html
ちはやあかさか [ Chihayaakasaka ],南河内郡千早赤阪村大字二河原辺７,https://www.kkr.mlit.go.jp/road/michi_no_eki/contents/osaka/chihayaakasaka.html
